Nama UMKM                               , Produk Utama                            , Total Aset (Juta), Penjualan Rata-rata Per Tahun (Juta), Jumlah Tenaga Kerja, Nama Badan Hukum       , Kategori                                                                  , Sistem Penjualan      , Target Pasar                                                               , Proyeksi Pertumbuhan (%/tahun), Kebutuhan Biaya Kredit (Juta), Nilai Aset Jaminan Kredit, Jumlah Dokumen Kredit, Label      , pendanaan
Kios Rusli                              , Sembako                                 , 200.0            , 162.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 13.0                         , 200.0                    , 7                    , TIDAK LAYAK, 353.5973921543025
Kios Yono                               , Sembako                                 , 1350.0           , 50.0                                , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 17.0                         , 1350.0                   , 7                    , TIDAK LAYAK, 1134.5893756197358
Kios Veronika                           , Sembako                                 , 175.0            , 178.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 19.0                         , 175.0                    , 8                    , TIDAK LAYAK, 350.0463750650352
Buton Permai                            , Sembako                                 , 300.0            , 216.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 30.0                         , 300.0                    , 8                    , TIDAK LAYAK, 509.3614221280717
Kios Sinar Bone                         , Sembako                                 , 300.0            , 108.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 300.0                    , 7                    , TIDAK LAYAK, 391.235650935293
Kios Tidar                              , Sembako                                 , 10.0             , 600.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 10.0                     , 7                    , TIDAK LAYAK, 729.0531465624226
Toko Santoso                            , Peralatan Elektronik                    , 40.0             , 600.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 40.0                     , 7                    , TIDAK LAYAK, 743.0063978979011
Ikan Asar Yufia                         , Ikan Asar                               , 80.0             , 432.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %                    , 0.0                           , 50.0                         , 80.0                     , 6                    , LAYAK      , 600.7433747548754
Kios Butita                             , Sembako                                 , 190.0            , 60.0                                , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 190.0                    , 8                    , TIDAK LAYAK, 219.77818227852018
Kios Syahid                             , Sembako                                 , 400.0            , 108.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 25.0                         , 400.0                    , 6                    , TIDAK LAYAK, 444.1663438264043
Kios Sikamali                           , Sembako                                 , 27.0             , 150.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 14.0                         , 27.0                     , 7                    , TIDAK LAYAK, 195.3649534049477
Kios Lintas                             , Sembako                                 , 170.0            , 180.0                               , 5                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 48.0                         , 170.0                    , 7                    , TIDAK LAYAK, 350.57489670332563
Kios Arafan                             , Sembako                                 , 220.0            , 180.0                               , 3                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 25.0                         , 220.0                    , 6                    , TIDAK LAYAK, 389.0621802913593
UD Kios Deker                           , Sembako                                 , 1200.0           , 36.0                                , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 15.0                         , 1200.0                   , 7                    , TIDAK LAYAK, 1009.9092658683087
Kios Amal                               , Sembako                                 , 30.0             , 240.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 30.0                     , 5                    , TIDAK LAYAK, 320.32268111844877
UD Cahaya                               , Sembako                                 , 400.0            , 184.0                               , 6                  , Usaha Dagang (UD)      , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 400.0                    , 10                   , TIDAK LAYAK, 562.1458991316405
Penjual Ikan Asar                       , Ikan Asar                               , 1.0              , 390.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 60 %                    , 0.0                           , 11.0                         , 1.0                      , 5                    , TIDAK LAYAK, 469.68342438607885
UD Toko Maria                           , Elektronik                              , 1100.0           , 96.0                                , 4                  , Usaha Dagang (UD)      , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 10.0                         , 1100.0                   , 9                    , TIDAK LAYAK, 996.1932750061188
UD Kios Genza                           , Pakaian                                 , 25.0             , 115.0                               , 3                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %                    , 0.0                           , 10.0                         , 25.0                     , 8                    , TIDAK LAYAK, 169.30241213598742
UD Toko Tunas Lakuda                    , Pakaian                                 , 410.0            , 288.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 410.0                    , 9                    , TIDAK LAYAK, 668.1104599184732
Abdi Properti                           , Properti                                , 400.0            , 132.0                               , 4                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 30.0                         , 400.0                    , 11                   , TIDAK LAYAK, 472.72458852393686
UD Be One                               , Pakaian                                 , 1750.0           , 250.0                               , 3                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 20.0                         , 1750.0                   , 9                    , TIDAK LAYAK, 1693.174155178647
Jasa Ojek                               , Jasa Ojek                               , 15.0             , 93.0                                , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 15.0                         , 15.0                     , 7                    , TIDAK LAYAK, 127.44935728744541
Kios Lintas                             , Sembako                                 , 170.0            , 180.0                               , 5                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 48.0                         , 170.0                    , 7                    , TIDAK LAYAK, 359.45139895884023
Kios Arafan                             , Sembako                                 , 220.0            , 180.0                               , 3                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 25.0                         , 220.0                    , 6                    , TIDAK LAYAK, 411.2496179009784
UD Kios Deker                           , Sembako                                 , 1200.0           , 36.0                                , 2                  , Usaha Dagang (UD)      , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 15.0                         , 1200.0                   , 7                    , TIDAK LAYAK, 1007.4480234232374
Opsi                                    , Pakaian                                 , 50.0             , 156.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 20.0                         , 50.0                     , 5                    , TIDAK LAYAK, 237.49319561076283
Kios Sala Tiga                          , Sembako                                 , 50.0             , 300.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 50.0                     , 5                    , LAYAK      , 378.4460478274075
Cv. Viola                               , Air Galon                               , 200.0            , 500.0                               , 19                 , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan) 100 %   , 0.0                           , 100.0                        , 200.0                    , 12                   , LAYAK      , 768.5062523393298
Bakso Santai                            , Bakso                                   , 1.0              , 206.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 20.0                         , 1.0                      , 5                    , TIDAK LAYAK, 257.53899353600485
Kios Sahrina                            , Sembako                                 , 10.0             , 90.0                                , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 100.0                        , 10.0                     , 5                    , TIDAK LAYAK, 147.63891292948634
Kios Obata                              , Sembako                                 , 234.0            , 99.0                                , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 45.0                         , 234.0                    , 5                    , TIDAK LAYAK, 302.0469994643716
Kios Pakde                              , Bbm                                     , 15.0             , 177.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 20.0                         , 15.0                     , 5                    , TIDAK LAYAK, 228.1890048251801
Kios Diana                              , Sembako                                 , 20.0             , 540.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 15.0                         , 20.0                     , 5                    , TIDAK LAYAK, 670.6265457852744
Bakso Kotak                             , Bakso                                   , 173.0            , 1080.0                              , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 100.0                        , 173.0                    , 10                   , LAYAK      , 1433.9333170851248
Warung Resky                            , Makanan                                 , 316.0            , 288.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 100.0                        , 316.0                    , 7                    , TIDAK LAYAK, 599.1755981825243
Kios Arman                              , Sembako                                 , 20.0             , 150.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 20.0                     , 7                    , TIDAK LAYAK, 187.08534214684767
Kios Sumarsih                           , Makanan                                 , 34.0             , 165.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 20.0                     , 7                    , TIDAK LAYAK, 225.3025505342374
Toko Sepatu Sukirman                    , Sepatu Dan Sandal                       , 20.0             , 204.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 25.0                         , 34.0                     , 7                    , TIDAK LAYAK, 262.2731256166861
Kios Tidar                              , Sembako                                 , 10.0             , 600.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 10.0                     , 7                    , TIDAK LAYAK, 745.1159654074341
Toko Santoso                            , Peralatan Elektronik                    , 40.0             , 600.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 40.0                     , 7                    , TIDAK LAYAK, 751.3215491683874
Ikan Asar Yufia                         , Ikan Asar                               , 80.0             , 432.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %                    , 0.0                           , 50.0                         , 80.0                     , 6                    , LAYAK      , 570.6185610688138
Kios Rio                                , Sembako                                 , 340.0            , 600.0                               , 3                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 200.0                        , 340.0                    , 9                    , LAYAK      , 1010.5980724102271
Cv. Anugrah Sejahtera                   , Makanan Olahan Daging                   , 6.0              , 168.0                               , 3                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail dan Distributor, Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 6.0                      , 8                    , TIDAK LAYAK, 215.08517513424636
UD Bengkel Mustika Jaya                 , Teralis                                 , 200.0            , 360.0                               , 3                  , Usaha Dagang (UD)      , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 100.0                        , 200.0                    , 9                    , LAYAK      , 590.4312335336973
Toko Buah Ifabel                        , Buah                                    , 220.0            , 720.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 60.0                         , 220.0                    , 7                    , LAYAK      , 1048.9491609966333
Toko Buah Farida                        , Buah                                    , 107.0            , 600.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 18.0                         , 107.0                    , 7                    , LAYAK      , 823.7077600227364
Toko Sepeda Iwan                        , Sepeda                                  , 320.0            , 360.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 50 %      , 0.0                           , 150.0                        , 320.0                    , 8                    , LAYAK      , 689.948318653369
Toko Nawir Buah                         , Buah-Buahan                             , 40.0             , 180.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 10.0                         , 40.0                     , 6                    , TIDAK LAYAK, 256.58938686359124
Pengepul Kopi                           , Kopi                                    , 1000.0           , 2400.0                              , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Distributor           , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 100.0                        , 1000.0                   , 5                    , LAYAK      , 3675.376508423586
Bengkel Roda Jaya                       , Onderdil Motor                          , 521.0            , 96.0                                , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %                    , 0.0                           , 30.0                         , 521.0                    , 6                    , TIDAK LAYAK, 537.2555786785313
UD Thuba Bangunan                       , Alat-Alat Bangunan                      , 89.0             , 180.0                               , 1                  , Usaha Dagang (UD)      , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 50.0                         , 89.0                     , 7                    , TIDAK LAYAK, 281.9699090677422
Ud Cintami                              , Daging Ayam                             , 75.0             , 360.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 50.0                         , 75.0                     , 8                    , LAYAK      , 489.0109639877251
UD Prima Tani                           , Herbisida Dan Alat Tani                 , 230.0            , 408.0                               , 1                  , Usaha Dagang (UD)      , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 50.0                         , 230.0                    , 8                    , LAYAK      , 670.5019568511638
Toko Sepatu Budi                        , Sepatu                                  , 240.0            , 60.0                                , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 26.0                         , 240.0                    , 5                    , TIDAK LAYAK, 258.07814203249194
Toko Selka                              , Warung Manisan                          , 241.0            , 87.0                                , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 40.0                         , 241.0                    , 6                    , TIDAK LAYAK, 289.23605114873993
Lita Ayam Potong                        , Daging                                  , 185.0            , 36.0                                , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 8.0                          , 185.0                    , 5                    , TIDAK LAYAK, 200.30775235989543
Toko Pakaian Peni                       , Pakaian                                 , 100.0            , 600.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 70.0                         , 100.0                    , 4                    , LAYAK      , 789.466031811314
Toko Rifqi                              , Peralatan Rumah Tangga                  , 335.0            , 120.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail dan Distributor, Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %     , 0.0                           , 80.0                         , 335.0                    , 4                    , TIDAK LAYAK, 411.2477121066702
Bumbu Wenti                             , Bumbu Dan Telur                         , 25.0             , 594.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 18.0                         , 25.0                     , 7                    , TIDAK LAYAK, 746.0882748936382
Restu Ibu Mini Market                   , Barang Harian                           , 40.0             , 590.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 16.0                         , 40.0                     , 7                    , TIDAK LAYAK, 746.1978165669317
Toko Jovan Mini Market                  , Barang Harian                           , 593.0            , 396.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 18.0                         , 593.0                    , 7                    , LAYAK      , 926.4402906472111
UD Skb Bangunan                         , Bahan Bangunan                          , 100.0            , 3800.0                              , 4                  , Usaha Dagang (UD)      , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 45.0                         , 100.0                    , 9                    , LAYAK      , 4643.068938298152
Tb Sinar Andalas                        , Material Bangunan                       , 6600.0           , 4200.0                              , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 75.0                         , 6600.0                   , 9                    , LAYAK      , 10317.553790717388
Toko Sembako Mutia                      , Sembako                                 , 348.0            , 360.0                               , 3                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 27.0                         , 348.0                    , 6                    , LAYAK      , 724.6389663255839
Villa Farfum                            , Parfum                                  , 16.0             , 546.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 27.0                         , 18.0                     , 8                    , TIDAK LAYAK, 658.5349838396176
Toko Sepatu Fatimah                     , Sepatu                                  , 170.0            , 90.0                                , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 15.0                         , 170.0                    , 7                    , TIDAK LAYAK, 267.899668503531
Toko Aupa                               , Pecah Belah                             , 65.0             , 84.0                                , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 27.0                         , 65.0                     , 6                    , TIDAK LAYAK, 145.89518213141025
Iqbal Variasi Motor                     , Variasi Motor                           , 1400.0           , 114.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 5.0                          , 1400.0                   , 6                    , TIDAK LAYAK, 1247.0536280315334
Ira Plastik                             , Plastik                                 , 303.0            , 540.0                               , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 27.0                         , 303.0                    , 7                    , LAYAK      , 910.0932242485302
Toko Manisan Iwen                       , Sembako                                 , 105.0            , 720.0                               , 3                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 18.0                         , 105.0                    , 7                    , LAYAK      , 947.1988380132782
UD Kios Buah                            , Buah                                    , 860.0            , 900.0                               , 1                  , Usaha Dagang (UD)      , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 80 %                    , 0.0                           , 49.0                         , 860.0                    , 7                    , LAYAK      , 1775.1486571462187
UD Egi Mainan                           , Mainan                                  , 115.0            , 240.0                               , 1                  , Usaha Dagang (UD)      , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 45.0                         , 115.0                    , 7                    , TIDAK LAYAK, 376.1795286214374
Kios Sumarsih                           , Makanan                                 , 34.0             , 165.0                               , 2                  , Usaha Dagang (UD)      , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 25.0                         , 34.0                     , 7                    , TIDAK LAYAK, 232.47840848922658
Kios Ija                                , Sembako                                 , 290.0            , 338.0                               , 2                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 15.0                         , 290.0                    , 9                    , LAYAK      , 639.2108428175939
Rental Novan                            , Rental Mobil                            , 200.0            , 60.0                                , 1                  , Perorangan             , Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor, Retail                , Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %                   , 0.0                           , 30.0                         , 200.0                    , 7                    , TIDAK LAYAK, 232.79643426607717
